"","(15Z)-Tetracosenoic acid","(5-L-Glutamyl)-L-glutamine","1-4-beta-D-Xylan","10(S)17(S)-DiHDHA/protectin D1","11-HETE","12(S)-HETE","15(S)-HETE","2-Oxoglutaramate","2-Oxoglutarate","3',5'-Cyclic IMP","3-Methyleneoxindole","4-Acetamidobutanoate","4-Pyridoxate","5'-Phosphoribosyl-N-formylglycinamide","5-6-Dihydrothymine","5-Guanidino-2-oxopentanoate","5-Hydroxyindoleacetate","5-Hydroxyisourate","5-Oxoproline","5(S)-HETE","acetyl-carnitine","Acetylcholine","acyl-C12 (O-dodecanoyl-carnitine)","acyl-C12:1 (O-dodecenoyl-carnitine)","acyl-C14 (O-tetradecanoyl-L-carnitine)","acyl-C14:1 (Tetradecenoyl Carnitine)","acyl-C16 (L-Palmitoylcarnitine)","acyl-C16:1 (Hexadecenoyl-carnitine)","acyl-C18 (Octadecanoyl-L-carnitine)","acyl-C18:1 (O-octadecenoyl-L-carnitine)","acyl-C18:2","acyl-C4-DC","acyl-C5","acyl-C5-OH","acyl-C5:1","Adenine","Adenosine","Alanine","Allantoate","AMP","Anthranilate","Arginine","Ascorbate","Asparagine","Aspartate","butanoyl-l-carnitine","Chenodeoxycholic acid","Cholic acid","Choline","Citrate","Creatine","Creatinine","Cys-Gly","Cysteine","Cystine","D-Arabitol","D-Glucono-1-5-lactone 6-phosphate","D-Glucose","D-Rhamnose","D-Ribose","Decanoic acid (caprate)","Dehydroascorbate","Deoxycholic acid","DiHOME","Dihomo-g-Linolenic acid/eicosatrienoic acid","Dimethylglycine","Diphosphate","Docosahexaenoic acid","Docosapentaenoic acid","Dodecanedioic acid","Dodecanoic acid","Dopamine","Ectoine","EpOME/HODE","Fumarate","gamma-Glutamyl-Se-methylselenocysteine","gamma-L-Glutamyl-D-alanine","Glutamate","Glutamine","Glycerol 3-phosphate","Glycine","Glycochenodeoxycholic acid","Glycocholic acid","Guanidinoacetate","Guanine","HEPE/oxoETE","Heptanoic acid","Hexadecanoic acid","Hexadecenoic acid","Hexanoic acid (caproate)","hexanoyl-L-carnitine","Hexose phosphate","Histidine","HOTrE/oxoODE","Hypoxanthine","Icosapentaenoic acid","Icosatetraenoic acid","IDP","Indole","Indole-3-acetaldehyde","Indole-3-acetate","kynurenine","L-Adrenaline","L-Arabinose","L-Carnitine","L-Citrulline","L-Methionine S-oxide","L-octanoylcarnitine","Lactate","Leucine/isoleucine","Leukotriene B4/PGA1/PGB1","Linoleate","LPA_16:0","LPA_16:1","LPA_18:2","LPA_20:4","Lysine","Lysophosphatidic Acid","Lysophosphatidylinositol","Malate","Maltose","Mannitol","Methionine","N-Acetylneuraminate","N-Acetylornithine","N-formyl kynurenine","Nonanoic acid (pelargonate)","O-Decanoyl-L-carnitine","O-Decenoyl-L-carnitine","Octadecanoic acid","Octadecatrienoic acid","Octadecenoic acid (Oleic acid)","Octanoic acid (caprylate)","octenoyl-l-carnitine","Ornithine","Oxaloacetate","Pantothenate","Phenylalanine","Phosphate","Picolinic acid","Proline","propionyl-carnitine","Prostaglandin A2/B2/J2","Prostaglandin A3/B3","Pyridoxal","Pyridoxamine 5'-phosphate","Pyruvate","quinolinic acid","Resolvin D1/D2","S-Adenosyl-L-homocysteine","Serine","Sphinganine 1-phosphate","Sphingosine","Sphingosine 1-phosphate","Stearidonic acid","Succinate","Taurine","Taurochenodeoxycholic acid","Taurocholic acid","Taurodeoxycholic acid","Taurolithocholic acid","Tauroursodeoxycholic acid","Tetradecanoic acid","Threonine","Thymidine","trans-4-Hydroxy-L-proline","Tryptophan","Tyrosine","UDP","UMP","Urate","Ursodeoxycholic acid","Valine","Xanthine"
"HTP0001B2",1112122.946,30088.29364,158414.1048,27025.64844,9644.668649,2939.582384,1617.779587,17508.60222,77080.35515,26002382.48,1249650.547,1268420.82,51443.1703,235.0105573,362915.358,3321432.649,107555.1766,201598.7548,1957166.464,961.0636785,5575470.513,351726.522,70030.97221,188281.437,42851.2068,150518.6193,558053.7095,39430.43131,176235.5789,1985104.031,181831.0543,22629.70968,140983.9645,11582.00582,11766.82049,57787.39291,1421.311494,6708058.115,283897.0388,2905.03944,134199.8979,2457216.248,64786.99243,658950.7899,642487.5195,84638.13432,73421.44301,19652.32259,4173314.21,1047631.213,3444008.829,7662160.42,4556.268343,19928.76997,489786.9257,12498.17137,13694.67449,5828278.867,104244.2133,109624.5066,131366.721,77665.95261,183052.701,97680.58998,501955.6588,562682.2098,551.9972063,479682.3453,2917.922057,11586.79154,253182.2943,7890.713138,126990.0681,129178.468,51903.89999,35256.0699,85444.66977,413564.5897,8594839.204,1860.700538,1556936.989,1584898.503,368307.5247,90819.13094,94389.88091,1344.519486,85055.67672,33846983.13,1732432.755,155521.0763,42322.06143,25029.80296,2338227.602,28914.98233,723128.6225,81805.58849,1189989.925,42194.39638,519458.3345,58215.73052,89789.05892,440778.8375,745858.7196,109624.5066,25533069.21,240549.0294,30390.93967,142468.6368,15465351.21,22484855.57,4494.322688,48676019.52,10681.38018,1309.079428,106447.662,30950.49675,4418555.837,14982.19852,9753.515256,95166.82743,7708.396121,143296.3595,2238530.168,9706.94737,3579309.579,50422.18674,167434.4826,72766.50662,102620.5923,25583824.7,4564901.881,60863004.02,77687.0455,146078.623,985504.6523,4121.076663,279533.5826,26406313.23,839918.5211,169445.6395,6198476.906,223498.7632,1554.233297,29114.93821,4366.293733,1914.164268,491245.4098,18991.51505,92337.40494,15554.95471,1024954.014,66679.78691,197338.8237,561087.9155,26507.32384,74633.36157,284301.9688,136418.8591,38243.33207,41554.38146,14263.0509,4776.616381,671850.0621,2794088.677,222629.1408,986660.6825,20153702.34,10536192.12,358187.4863,120915.2451,14826851.99,39938.6007,21269972.15,78347.17951
"HTP0005A3",269374.0118,39371.96969,154522.019,4717.230822,2936.972605,2714.18361,2155.33645,39021.02664,51239.93801,30936698.36,918068.3195,50822.87819,35097.81394,1266.293433,506006.6524,2916814.31,214051.7104,323825.7371,2268362.378,2414.982648,6885147.504,715081.8951,69077.04785,55272.83209,53633.89485,39391.03138,334651.0198,14507.44075,96193.25494,414666.8158,6371.192668,24597.25423,361126.288,61921.10331,16851.88263,71542.23236,12753.20102,6360770.647,393871.8457,4847.887138,111794.3702,2407180.079,19794.17833,561076.18,444019.0962,194645.561,184974.2653,30836.09875,5120198.933,2153938.177,4112750.228,7158232.411,28352.19186,59574.33765,534485.3087,17718.2784,3938.291039,4047463.676,117677.8598,95668.38624,105425.934,133966.2506,208796.5432,53915.6537,374080.7857,448037.656,5753.681571,729567.6894,9209.153816,20225.47637,106826.6037,8037.207737,281852.3569,58534.15498,53151.41874,59136.38982,91836.81191,468263.2792,8703871.152,3099.664996,1674008.433,1127276.219,187116.4127,139850.9396,59986.42044,1038.546225,99378.13501,25684172.42,1402471.102,144438.7037,240682.8368,32432.11822,1796128.68,9519.462238,377288.5977,145036.4564,1152506.99,293549.4533,1214459.02,42232.21891,92665.64836,888341.0907,652208.7164,95668.38624,37153751.28,539053.1561,36253.84105,1457837.164,8639910.657,40616450.13,8308.821578,11614402.83,11257.68557,620.8615946,93800.72845,15177.5516,5027257.743,8022.04622,9732.708835,83040.91341,7407.183892,115102.9001,3756506.625,31210.26152,3487603.604,71096.72204,148931.3386,391658.0468,403527.9606,19237711.84,1111400.712,18641801.76,98810.09933,320393.6245,1742395.984,5496.299722,60081.00078,35025809.69,1696915.318,87896.05593,11491097.7,911220.8578,154669.7558,26817.5634,209.7934196,448.2380974,342916.0203,11211.7443,32995.37379,20920.42072,554831.8348,8677.662129,523511.1649,126671.8423,24815.90134,75935.61605,292704.2332,101782.2152,49122.63849,36185.64424,15261.09851,5040.550406,395560.3801,1798250.236,288431.6103,1130484.21,15700485.71,16450021.38,531085.5617,22380.63302,13025200.62,105504.4556,19184429.97,172438.9553
"HTP0012A2",406240.7041,48255.76293,131971.621,18833.45954,5421.551468,3287.340876,698.0045192,30651.6202,77148.29922,26335376.23,2010195.443,327622.4422,44055.98087,3553.920285,587457.4464,3937154.338,235006.5431,398652.7669,2510807.189,4436.279363,6597264.135,845687.0473,380677.5813,425599.1414,78266.53013,330132.8524,374594.9774,52661.05178,95701.52051,885341.2982,19515.16326,32702.08707,383981.1974,28252.27045,27176.10143,57204.60061,18846.86875,9149821.592,391720.3667,1936.450231,1535742.857,3667642.592,22107.50923,546436.3638,387741.1963,225061.8519,42829.79804,17417.52187,7965453.375,2971887.375,5848577.623,6424341.893,21742.69399,64073.99773,340742.9574,16895.52385,3633.441232,3628884.248,118573.2395,92987.73254,114702.6554,155743.2445,316683.6535,55821.12308,675975.8336,448600.4218,7422.112478,1272995.553,14920.28349,31945.60962,102319.3759,4795761.137,212735.9626,31651.87514,66662.93805,53686.64997,150056.7266,242585.6635,9832101.475,5566.610716,2611435.296,547093.7712,56653.87529,183741.4901,4289.433952,2086.738349,84633.57928,32748486.88,5950583.128,160664.5006,37064.72739,20641.42287,1787815.961,13601.04719,1335295.776,349925.493,2758329.105,307858.6849,1156686.323,59091.33105,93952.13148,928097.0931,534883.9473,92987.73254,36607407.79,774959.8166,114652.6902,70564.84509,8275502.464,42613802.39,41060.45552,28803878.94,4824.908392,856.9532497,22055.58396,9337.019331,6449527.751,5081.866219,6566.522634,127441.5292,10589.43188,128586.3706,6356847.959,25840.57745,3461811.676,230665.4426,118785.322,18199.3828,36019.32616,15920316.92,2531555.64,53840872.78,83070.12189,265252.6774,1694457.222,6727.780611,73939.57316,38482835.95,1695345.374,132922.2067,17451883.05,732583.9595,3370.631063,19617.04747,720.5529221,1271.897935,288442.8953,15011.6498,73437.61788,30230.44744,961615.9268,12745.71814,48145.3699,178972.0019,36738.72182,108251.575,448590.1174,22374.35321,10063.00436,41136.89528,17000.79708,2530.416938,301693.9844,2477760.324,247616.1896,1299684.163,20811508.99,18291715.57,554588.7273,32390.09913,17164382.24,66456.6482,27705906.41,87978.13595
"HTP0015A4",532883.3218,21833.64035,210612.9303,34161.14271,6671.46397,5284.498013,5650.676258,34948.37534,97146.16571,27538895.24,992464.5754,40690.41675,25886.98828,1070.055792,292085.1615,1951608.069,331727.2512,219448.9994,1608919.838,5576.745806,5781965.029,498490.0439,373519.8746,516205.9243,134023.6701,521970.8389,926184.5725,138126.8591,319431.3702,2202885.52,17717.92837,32052.47016,194308.6288,7947.962586,15740.54868,45916.08585,22545.18784,4503865.577,339438.6772,11306.68201,163158.2483,800731.3945,34612.47495,224180.905,357084.3372,122307.2276,89885.03312,28360.29473,5257015.096,2433358.306,3023647.781,4517657.094,9696.046847,31138.32833,362952.3569,16253.29823,10230.19781,5581508.476,77489.47108,129875.253,85184.66957,160085.0929,129312.4062,71072.50637,654960.0152,303052.0684,931.5408788,1418976.953,22887.0077,13464.63398,95883.33751,9300.657157,202291.312,57658.09258,64227.14012,35984.38428,65021.37609,980837.718,4198768.963,2948.72281,1166146.132,538931.072,39898.96444,106473.0523,26394.52514,1502.654557,79276.34287,44297838.53,10450913.17,149201.8052,50186.89762,29030.74455,1163197.189,19073.24319,1101048.588,285850.2289,3428716.772,163897.7184,416191.6472,42543.86994,39877.26358,1305461.153,604596.9435,129875.253,22154123.94,350616.4666,17696.39879,101538.3332,12455961.31,21255171.33,66828.97949,46618525.36,4707.799417,1910.577963,42486.9797,19731.84543,3048541.45,5616.941026,22048.19876,113529.2436,5472.042241,146654.5078,2512613.345,18768.97493,2629224.797,23343.28399,118625.7457,35140.81286,87402.41149,26431209.54,4687925.462,72656969.08,65884.5652,375490.1814,1094860.643,4054.831995,217753.0997,29292986.59,906954.1487,1017240.202,11061170.84,833512.0062,32078.2992,32529.63097,1251.700575,2466.014207,287930.2978,19901.86288,130661.9343,22043.996,420979.3828,7634.998542,671674.9007,126084.337,60770.29999,100570.4959,198231.2118,51104.43668,13707.40299,20774.17045,11468.15508,4123.251893,471822.6637,836593.3858,215203.3142,1405401.396,15050354.19,10786392.86,464197.8053,25595.64553,24126472.26,57626.11986,21547735.24,385678.4531
"HTP0017A4",573875.709,27597.6,129947.2169,16288.74565,3695.790944,3402.914033,2167.492825,25903.17493,90534.48979,33870467.19,1079829.582,65758.17432,11964.04925,182.3491822,496949.6235,2475233.614,206359.5095,287313.5934,2077076.754,3071.214872,5178116.889,665722.6535,199316.3698,327346.3955,83134.64032,228700.964,592885.777,53388.38699,137266.2864,1026436.23,66908.53309,25030.23077,286903.0842,27307.93184,26736.89906,53973.04625,29756.94587,5659367.216,186372.7983,4054.627195,817281.9697,1247833.952,45331.69862,355692.6341,671996.3436,85655.02474,66175.6809,9502.208434,8606307.663,2085555.35,1545128.572,6248484.978,4019.656581,31638.35474,415369.4975,19004.04128,9002.583002,4541908.999,144813.2014,97064.8673,126020.5225,153336.7485,148428.5823,115515.9968,578705.685,441161.6817,2317.69303,590868.9165,20379.61546,38596.30808,201938.0756,10133.84674,263090.427,81729.13157,71336.25233,63253.32199,52650.33419,192377.0063,7331039.233,3782.086903,1180580.324,607417.4031,95863.18998,87626.43763,19408.10527,865.0648538,60910.5452,37740122.25,3075661.584,143242.1701,32372.1764,28722.21951,1809757.814,16065.48656,872232.7614,125188.9164,2153684.048,149335.2707,464768.2751,51634.52627,128270.6879,903369.8596,885436.5865,97064.8673,27318022.65,505603.6477,54447.83685,65455.29462,10303628.06,37389263.37,20480.53932,74498707.23,5480.496992,2239.208449,77377.66784,21613.82812,2758920.232,9074.551076,5526.568526,136817.1908,10411.30877,154421.4034,2523755.866,19809.09418,91523.97764,65026.9138,145080.417,80096.5771,88263.87961,23369184.37,2888498.103,50328829.29,93489.55125,807043.3469,741633.7281,5600.321073,242756.1582,40076189.58,1482548.524,168764.2507,9885454.766,529277.155,350.7625443,22607.65559,1591.090593,3656.635246,519049.9986,18039.97419,158209.4082,18477.04044,663500.8949,22655.96749,213691.1714,130589.5746,12275.57357,100438.055,420749.7377,107378.4771,25108.79565,50196.59718,16041.20675,2819.504541,975862.2848,1213091.255,185823.3954,1714698.49,16942547.93,10390742.22,525041.3397,72330.21924,19866150.28,51276.13363,23408187.94,46898.36269
"HTP0018B3",728307.768,32472.0093,127606.4146,20400.5302,6954.214306,5469.410795,1837.872573,30293.16582,54767.49712,30944568.43,909720.9959,18022.36906,5378.849439,175.4896112,346012.3251,2686462.054,90826.47925,343255.0248,2480930.394,2969.839702,7137592.379,435007.4016,482304.4848,318700.2439,121033.0038,213801.6331,883130.4985,46904.05902,152173.6508,1850250.011,201094.4868,32341.15119,153235.7063,10288.4003,15118.07541,46285.13179,16717.81058,6495345.259,353881.4947,37621.10799,613261.6651,1667628.053,33044.9364,521293.7532,642341.7648,81901.24519,161586.1369,20769.49954,5867864.861,1022417.63,3779134.314,6405438.852,4425.159425,27603.86397,575590.8499,10860.35676,13403.65086,4953255.748,91466.97381,100742.3934,148660.7025,64799.50288,69944.53022,47095.86047,410081.8222,317712.5299,1569.651206,1758675.374,20799.45827,154337.6239,229306.4209,15398.08609,220980.3823,53196.1068,60041.18982,48580.14046,62926.86825,340767.6153,13487217.73,3367.516391,2162827.306,1564257.19,147386.9333,143230.4782,23530.66766,1607.698986,68720.49098,53639735.07,2210254.082,159797.7701,45471.31415,16380.07364,2005116.981,16036.79619,993559.3547,55821.77114,2216104.964,42948.35002,451638.7507,38749.16306,66751.95798,319617.1815,1391390.848,100742.3934,29041889.2,651113.6569,29461.1228,138075.4134,9122263.495,30651054.34,10872.46728,41632372.29,48190.74421,2445.485037,189386.8419,60517.87497,4089513.539,36222.16048,772.3461619,83833.16554,2784.845038,123406.4845,2611092.369,17470.54836,633711.6433,56967.20797,176045.3734,78687.44221,124911.2236,45581454.14,3055509.938,62146414.54,94702.16021,260879.8619,1187626.998,8930.461351,86120.37557,25587428.96,1003356.85,81908.78032,6704248.995,307048.3574,546.7470716,27323.07605,809.2247065,1316.743741,273337.1981,8687.024053,87193.00693,16489.79367,1214879.139,51754.91298,56486.88657,218786.9089,20955.74602,80920.53273,465844.498,569426.9592,70773.17802,85708.99595,7661.904926,49009.16082,966216.3684,2490911.907,201107.2557,1234916.666,17742909.08,9691066.502,417782.0802,78915.84455,12284252.77,132985.0997,15267870.43,90064.03472
"HTP0019B2",703813.4697,36505.70604,145537.5549,21243.19096,4701.788333,3701.542975,1820.016802,15321.83641,80496.41549,27430150.74,1597513.223,34726.5718,23013.03725,347.138455,408503.4403,2696577.55,208469.4515,191105.5469,3673716.011,4457.794581,6780355.575,494754.9475,274941.1019,374169.9043,131529.2888,239598.0565,904099.0871,151320.027,259923.8453,1805558.47,186606.6274,30876.587,161276.2339,29883.64131,28653.42894,48132.13994,27756.85377,6687752.596,537457.3344,8831.704475,218457.2898,1640989.583,50611.2243,564578.2036,477368.7408,121253.7128,248781.8346,14368.38086,5150882.559,510444.5716,6494343.055,4681545.452,14675.91766,28574.57977,944347.439,11822.28385,16917.2995,4257957.252,37331.36096,93908.88509,90166.2123,68807.27027,115118.3141,41828.14715,840167.4679,530264.3281,1316.831216,1396786.795,189819.8107,18309.59396,493511.4651,5971.004291,69982.59821,43704.99587,45856.32697,39140.68428,67917.02705,431797.7537,9030894.489,8473.131729,1606159.741,546606.4075,51051.39129,101759.0029,32032.65927,1618.063687,85314.98648,67474534.45,14250196.44,129018.8059,67522.60893,21713.72249,2011308.39,22532.6831,352609.2128,308944.279,2491813.341,24140.83164,671741.7776,61522.38577,55352.39695,678434.4515,721882.6293,93908.88509,31657480.94,543627.5606,40469.79151,334160.9808,25769277.85,37708819.11,89932.89752,52491222.99,12922.93013,4166.638929,63685.04429,24851.77866,4800370.303,7900.230006,451.1398337,79544.42061,6631.903447,166578.2121,2768652.548,34820.98569,3027144.763,58957.65012,96102.59372,180546.456,109530.2967,43320640.1,4310945.034,101020681.4,54233.34482,208477.9293,1754775.722,10683.26353,76239.41087,38637883.75,849929.6069,143201.6378,6026401.939,534357.2582,521.7014644,16381.87727,993.2748602,2452.589302,531338.4634,18910.28566,144719.2362,9775.387784,1237632.938,64961.49754,40456.69778,302000.4501,78937.5834,73795.413,574127.4208,66292.452,11387.39865,32387.36434,5827.065802,1206.792941,4001252.443,3011819.975,152824.6249,1035452.513,25376975.78,15450997.1,449962.5979,65901.19937,14943332.33,19948.44313,19084289.68,111000.3208
"HTP0022B2",589256.042,33233.0873,159438.1803,33061.43591,35389.45062,29572.35186,20494.40954,35881.9028,53245.77195,24510497.08,971343.2412,74240.26745,9474.691929,1327.233045,388477.3502,2831812.486,120601.3252,236558.7502,1539166.888,5419.700927,5127802.33,474117.7302,185226.715,270420.5425,86154.68649,220886.8409,588902.1914,59593.54919,175634.0972,1169231.788,3165.823882,28622.90156,333027.6086,39376.99391,6643.777549,55239.81717,8632.840608,6556951.342,373908.3046,4607.73486,1997859.748,1866227.38,34295.26471,445601.4833,422943.44,99228.69604,161326.5435,131433.338,4873880.28,1837470.019,6289003.24,5735133.622,13374.12318,42376.87896,333678.6534,15567.12724,6086.572885,4555859.916,73537.3998,95934.67185,130095.4918,89988.27691,375337.2927,66853.60282,1050254.131,400832.0778,5809.730658,5220460.252,7099.940707,16040.70961,122376.2344,12243.96727,249399.5713,66256.13575,66547.85412,34086.73902,74677.38905,267624.3201,6962122.113,2598.075682,1674121.424,1519007.755,175318.8078,107797.2411,36515.39937,2468.070189,119361.2123,44527230.48,8055066.375,140389.5934,55175.16628,16916.45161,1514765.009,22637.6424,771866.9454,950472.8542,6439859.182,301909.2024,366248.5025,42209.56731,93099.18131,491542.068,778132.2853,95934.67185,28768364.89,363241.1778,67741.85205,292602.7852,7739148.574,32811556.3,54586.90601,48219599,14704.42456,4588.224102,72531.56546,29307.22369,4295810.256,8435.797009,2405.125071,75808.72424,5153.048722,196336.7877,2390239.741,27903.39345,2679958.101,21657.73498,176294.1199,40917.17584,130440.7366,26220416.77,4249529.157,60580904.81,100699.3382,945473.7921,1491249.483,8591.790321,33954.64142,32903403.38,1827214.517,80880.4282,9140439.679,592205.2036,6886.17311,71910.02208,615.5956885,2746.891228,333177.5925,15908.98994,114909.8006,27635.24937,845963.6657,4516.358372,54546.53495,132809.1051,118200.5442,52459.26655,373582.4965,133575.7399,29443.10166,60509.9237,18958.6753,7993.806987,308325.3004,1800841.079,303435.6934,480302.9896,16374545.9,19308859.53,613290.8693,28110.51014,18731891.76,82813.24422,25511788.35,53658.77783
"HTP0023A2",593573.175,29454.02743,162912.0217,19281.61293,7132.430237,5786.859137,1196.813758,27398.73447,70451.37331,24475641.5,1209036.279,1319396.065,33035.21829,3013.478901,515678.9532,2690157.142,309394.2635,251835.8289,1614146.159,5102.632351,6894642.347,358926.7023,136423.1928,162198.5416,58411.28249,172977.4523,480410.6321,79972.06562,135353.2175,1351578.814,29803.65828,27306.14097,238423.6531,15880.58964,27669.02199,59732.37357,24262.56743,9312753.484,342112.7015,7171.891626,115078.5102,2556170.317,28799.57134,426840.6938,396016.6899,66506.47275,47891.06846,10347.73321,7616188.49,3617905.521,3055412.021,3874454.045,19973.47739,67710.27216,449155.6818,13005.77857,3580.836967,4168467.375,118999.6876,98275.46643,74565.09357,206446.1754,194378.1616,27133.92373,389417.4944,375055.5424,5483.010758,1434271.584,30608.46459,16330.63907,104513.5241,5035.30099,203116.5647,46694.89181,65633.77657,41624.02917,123016.4957,800492.8486,6412757.18,4681.877926,1625846.287,471091.8816,30729.92126,90368.22097,5501.89654,864.8275963,81698.63236,32470463.3,10785061.32,162543.7165,48449.10407,22143.92835,1508648.279,23760.24184,757281.9624,167851.1258,1569669.282,248252.6597,540470.3384,58980.14601,146523.939,1425415.617,714117.8094,98275.46643,23573971.05,172279.9542,29395.12996,129414.1573,10394237.37,43452533.86,76882.98902,32739439.1,5720.021017,2139.134939,26058.49876,21743.01154,5236498.061,5136.052097,11379.23387,155414.4433,8927.115755,177529.2826,4468849.452,29232.45711,2975587.511,28633.13844,134118.2827,35938.08121,72899.87383,14320696.88,2591552.234,65388833.6,68073.99158,1057029.03,1150585.794,4031.304791,66293.42213,37038569.52,1623413.746,691466.6461,12141689.83,628006.1188,64562.59094,39663.11156,872.0520084,1205.86149,334804.5078,24644.42002,92992.83234,24381.43223,645296.3994,6675.880756,70473.52923,131127.4758,53178.50549,79862.40538,197180.1192,37775.41255,12752.86209,22301.47462,14927.84099,8167.566882,478597.4909,1366675.717,234833.7649,991936.4507,18432218.46,14506736.73,519800.7671,51199.28319,25481173.32,149085.6297,25919589.29,53770.66154
"HTP0025A3",334768.8189,36958.29509,137425.222,11985.99589,4153.620005,3815.867804,643.5376247,35535.7238,58481.09021,26165330.56,1210399.225,162280.5267,109873.9634,180.6869017,437829.0177,2340337.056,279410.1301,302134.1258,1986990.452,1743.530806,5133662.297,619071.3278,132340.5951,176782.8958,61329.32887,116450.2932,518090.6288,34451.49839,103201.286,1030630.634,32875.24609,26208.01741,310916.4227,29486.97366,17485.52907,59013.16898,18672.47689,8643442.307,581089.1432,4877.976932,2605829.077,2035038.933,41163.2946,646503.3862,364185.5577,50576.51049,108101.1138,179562.0627,5494505.025,1607656.804,5793058.761,5888452.596,22002.62238,43056.55734,351775.5358,17704.81675,8524.904719,3024652.394,128227.8636,95957.43081,114178.4386,112677.4605,114594.4164,69555.8928,276718.7077,415240.9269,5898.554399,1037317.407,3833.302611,27905.98522,92716.75683,7872.541184,273934.1337,211211.5302,70396.73907,39129.0403,98915.01025,574279.879,8897383.749,6030.883693,1986740.803,1700676.821,253228.5103,125636.4781,17670.41747,1116.657283,94995.26102,21162894.48,1121560.051,174828.8306,25815.71253,32646.40718,2045759.091,10806.47906,1358012.204,145697.0757,1301128.116,198651.7534,911548.0414,51127.56176,134868.5815,1126710.353,775261.6131,95957.43081,35133350.68,624200.6042,50427.11648,79142.99652,10527448.59,39995285.47,7553.063579,17445176.48,8061.292656,1807.719804,89923.93982,30986.22528,5901901.51,10850.39781,4794.664422,89819.16485,6856.230909,317106.1225,4139562.319,26167.06065,2924054.112,46295.09062,178503.4665,23017.96549,53783.76848,14744668.45,1474372.238,19585096.41,77742.35834,692726.1776,2048660.035,6861.571768,703949.096,35552935.66,1569602.012,1259394.665,10630194.43,784661.4084,21815.98429,58835.24346,12590.18349,846.4007377,463796.9994,13130.81545,45951.49854,22300.84074,775413.768,21152.25803,54368.52284,360438.336,40220.40715,90975.51912,405661.9276,365471.43,56834.57254,45586.51876,23843.42429,2387.745483,283491.5903,2402130.061,263276.6188,1031366.351,19160394.59,12588886.62,566085.9317,19675.97288,14952485.63,41787.01861,25358222.97,59241.83188
